date,amount,description,balance,income,word_embed,type,contains_salary
14/9/18,-8.4,WOOLWORTHS 3136 MID BR   BRIGHTON     AU Card xx5369,9225.97,0,-0.0061691,4,0
14/9/18,-13.3,I LOVE PHO PTY LTD       RICHMOND     AU Card xx5369,9234.37,0,-0.0071902,4,0
14/9/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 12/09/2018,9247.67,0,-0.0086194,4,0
13/9/18,-21.05,Direct Debit 010758 AHM 33695678,9256.67,0,-0.0029653,4,0
13/9/18,3743,Salary realestate.com.a 00REA Salary,9277.72,1,-0.0045201,6,1
12/9/18,-111.04,"Direct Debit 119218 VODAFONE T1,2BB15F,20",5534.72,0,-0.0062692,4,0
12/9/18,-14,LAMBS ON RICHMOND RICHMOND VI AUS Card xx5369 Value Date: 09/09/2018,5645.76,0,-0.006523,4,0
12/9/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 10/09/2018,5659.76,0,-0.0086194,4,0
12/9/18,-12,THE SWAN RICHMOND VI AUS Card xx5369 Value Date: 07/09/2018,5668.76,0,-0.0054418,4,0
12/9/18,-4.78,UBER   *TRIP 7XSRY SYDNEY NS AUS Card xx5369 Value Date: 09/09/2018,5680.76,0,-0.0006552,4,0
12/9/18,-5.92,UBER   *TRIP IFT7H SYDNEY NS AUS Card xx5369 Value Date: 09/09/2018,5685.54,0,-0.0006552,4,0
12/9/18,-12,UNION HOUSE Richmond VI AUS Card xx5369 Value Date: 09/09/2018,5691.46,0,-0.0067672,4,0
12/9/18,-24,UNION HOUSE Richmond VI AUS Card xx5369 Value Date: 09/09/2018,5703.46,0,-0.0067672,4,0
12/9/18,-11,UNION HOUSE Richmond VI AUS Card xx5369 Value Date: 09/09/2018,5727.46,0,-0.0067672,4,0
12/9/18,-24,UNION HOUSE Richmond VI AUS Card xx5369 Value Date: 09/09/2018,5738.46,0,-0.0067672,4,0
12/9/18,-24,UNION HOUSE Richmond VI AUS Card xx5369 Value Date: 09/09/2018,5762.46,0,-0.0067672,4,0
11/9/18,-15,BERTIES BUTCHERS RICHM   RICHMOND     AU Card xx5369,5786.46,0,-0.0092463,4,0
11/9/18,-15,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 06/09/2018,5801.46,0,-0.0056854,4,0
11/9/18,-5.5,COLES 0573 PRAHRAN AU AUS Card xx5369 Value Date: 08/09/2018,5816.46,0,-0.0025605,4,0
11/9/18,-18.99,SOUL PRESS BRIGHTON PT BRIGHTON  AUS Card xx5369 Value Date: 08/09/2018,5821.96,0,-0.0029943,4,0
10/9/18,-200,Wdl ATM CBA ATM  WINDSOR        VIC 316297   AUS,5840.95,0,-0.0062855,4,0
8/9/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 06/09/2018,6040.95,0,-0.0086194,4,0
8/9/18,-15,BERTIES BUTCHERS RICHM RICHMOND  AUS Card xx5369 Value Date: 07/09/2018,6049.95,0,-0.0105389,4,0
7/9/18,-20,Transfer to CBA A/c CommBank app Duran coaches gift,6064.95,0,-0.0064152,4,0
7/9/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 05/09/2018,6084.95,0,-0.0086194,4,0
6/9/18,-21.05,Direct Debit 010758 AHM 33695678,6093.95,0,-0.0029653,4,0
6/9/18,-52.2,Direct Debit 125206 FITNESS FIRST RI 015600018025010015,6115,0,-0.0060107,4,0
6/9/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 04/09/2018,6167.2,0,-0.0086194,4,0
6/9/18,-12,MELB METRO HSPITLTY CRAIGIEBURN VI AUS Card xx5369 Value Date: 02/09/2018,6176.2,0,-0.0075843,4,0
5/9/18,-10.9,MRS KIMS GRILL PTY L RICHMOND VI AUS Card xx5369 Value Date: 31/08/2018,6188.2,0,-0.0056737,4,0
5/9/18,-36.07,7-ELEVEN 1286 GLEN WAVERLEY VI AUS Card xx5369 Value Date: 02/09/2018,6199.1,0,-0.0066323,4,0
3/9/18,-20,Wdl ATM CBA ATM  RICHMOND STH B VIC 316602   AUS,6235.17,0,-0.0061254,4,0
1/9/18,-35,DR FOLLICLES BARBER      RICHMOND     AU Card xx5369,6255.17,0,-0.002212,4,0
1/9/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 30/08/2018,6290.17,0,-0.0086194,4,0
31/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 29/08/2018,6299.17,0,-0.0086194,4,0
31/8/18,-188,MELB BICYCLE CNTR PRAHRAN VI AUS Card xx5369 Value Date: 29/08/2018,6308.17,0,-0.0101569,4,0
30/8/18,-21.05,Direct Debit 010758 AHM 33695678,6496.17,0,-0.0029653,4,0
30/8/18,1048.5,Salary realestate.com.a 00REA Salary,6517.22,1,-0.0045201,6,1
30/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 28/08/2018,5468.72,0,-0.0086194,4,0
30/8/18,-3.7,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 28/08/2018,5477.72,0,-0.0086194,4,0
30/8/18,-20,MYKI EASTRICH RS  ERM CREMORNE  AUS Card xx5369 Value Date: 24/08/2018,5481.42,0,-0.0066395,4,0
29/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 27/08/2018,5501.42,0,-0.0086194,4,0
29/8/18,-21.5,THE YO MY COMPANY PT GLEN WAVERLEY VI AUS Card xx5369 Value Date: 26/08/2018,5510.42,0,-0.0080052,4,0
29/8/18,-14.29,ADOBE  PHOTOGPHY PLAN 1800614863 IR IRL Card xx5369 AUD 14.29 Value Date: 26/08/2018,5531.92,0,-0.003326,4,0
28/8/18,-4,DENIS THE MENANCE CREMORNE VI AUS Card xx5369 Value Date: 24/08/2018,5546.21,0,-0.0050704,4,0
28/8/18,-4,DENIS THE MENANCE CREMORNE VI AUS Card xx5369 Value Date: 24/08/2018,5550.21,0,-0.0050704,4,0
28/8/18,-67.65,COLES 0677 VERMONT SOUTH AU AUS Card xx5369 Value Date: 25/08/2018,5554.21,0,-0.0022036,4,0
26/8/18,-30.47,CALTEX GLEN WAVERLEY     GLEN WAVERLEYAU Card xx5369,5621.86,0,-0.0079193,4,0
25/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 23/08/2018,5652.33,0,-0.0086194,4,0
24/8/18,-20,MELB BICYCLE CNTR PRAHRAN VI AUS Card xx5369 Value Date: 22/08/2018,5661.33,0,-0.0101569,4,0
23/8/18,-21.05,Direct Debit 010758 AHM 33695678,5681.33,0,-0.0029653,4,0
23/8/18,-52.2,Direct Debit 125206 FITNESS FIRST RI 015600018025010014,5702.38,0,-0.0060107,4,0
23/8/18,-100,SPORTSBET PTY LTD MELBOURNE VI AUS Card xx5369 Value Date: 20/08/2018,5754.58,0,-0.0049645,4,0
23/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 21/08/2018,5854.58,0,-0.0086194,4,0
23/8/18,-75,SPORTSBET P/L DARWIN NT AUS Card xx5369 Value Date: 20/08/2018,5863.58,0,-0.0091791,4,0
23/8/18,-25,SPORTSBET P/L DARWIN NT AUS Card xx5369 Value Date: 20/08/2018,5938.58,0,-0.0091791,4,0
22/8/18,-37,BERTIES BUTCHERS RICHM   RICHMOND     AU Card xx5369,5963.58,0,-0.0092463,4,0
22/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 20/08/2018,6000.58,0,-0.0086194,4,0
22/8/18,-30.16,BP MALVERN 0559 MALVERN VI AUS Card xx5369 Value Date: 18/08/2018,6009.58,0,-0.004308,4,0
22/8/18,-6,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 18/08/2018,6039.74,0,-0.0056854,4,0
22/8/18,-10,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 18/08/2018,6045.74,0,-0.0056854,4,0
21/8/18,-200,Wdl ATM CBA ATM  WINDSOR        VIC 316297   AUS,6055.74,0,-0.0062855,4,0
21/8/18,-15,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 16/08/2018,6255.74,0,-0.0056854,4,0
21/8/18,-18.75,HOSTGATOR 7135745287 TX USA Card xx5369 AUD 18.75 Value Date: 17/08/2018,6270.74,0,-0.0048411,4,0
21/8/18,-154,TRI THANH PTY LTD RICHMOND  AUS Card xx5369 Value Date: 18/08/2018,6289.49,0,-0.007041,4,0
20/8/18,28.45,Direct Credit 002221 MCARE BENEFITS 749018135 CYWQ,6443.49,0,-0.0056738,5,0
18/8/18,-148,ORMONDE P/L         DANDENONG         AU,6415.04,0,0.00593287,4,0
18/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 16/08/2018,6563.04,0,-0.0086194,4,0
17/8/18,-15,MYKI RICHMOND RS  RMD RICHMOND     VICAU,6572.04,0,-0.010112,4,0
17/8/18,-20,Wdl ATM CBA ATM  RICHMOND STH B VIC 316602   AUS,6587.04,0,-0.0061254,4,0
17/8/18,-9.4,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 15/08/2018,6607.04,0,-0.0086194,4,0
17/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 15/08/2018,6616.44,0,-0.0086194,4,0
16/8/18,-21.05,Direct Debit 010758 AHM 33695678,6625.44,0,-0.0029653,4,0
16/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 14/08/2018,6646.49,0,-0.0086194,4,0
16/8/18,-74.2,MOUNTAIN FRESH SUSHI ROWVILLE  AUS Card xx5369 Value Date: 15/08/2018,6655.49,0,-0.0080866,4,0
15/8/18,-111.04,"Direct Debit 119218 VODAFONE T1,2B5BC6,4E",6729.69,0,-0.0062692,4,0
15/8/18,-5.2,PARKS VIC APK FEES GAT MELBOURNE VI AUS Card xx5369 Value Date: 11/08/2018,6840.73,0,-0.0041428,4,0
15/8/18,-8,THE SWAN RICHMOND VI AUS Card xx5369 Value Date: 10/08/2018,6845.93,0,-0.0054418,4,0
15/8/18,-16,THE SWAN RICHMOND VI AUS Card xx5369 Value Date: 10/08/2018,6853.93,0,-0.0054418,4,0
15/8/18,-31.96,COLES EXPRESS 6826 VERMONT SOUTH AU AUS Card xx5369 Value Date: 12/08/2018,6869.93,0,-0.0036352,4,0
14/8/18,3766,Salary realestate.com.a 00REA Salary,6901.89,1,-0.0045201,6,1
14/8/18,-15,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 09/08/2018,3135.89,0,-0.0056854,4,0
14/8/18,-151,Stokehouse St Kilda VI AUS Card xx5369 Value Date: 11/08/2018,3150.89,0,-0.0069515,4,0
14/8/18,-19.5,SOUL PRESS EDITHVALE  AUS Card xx5369 Value Date: 12/08/2018,3301.89,0,-0.0010373,4,0
14/8/18,-13.02,COPP PAID PARKING ST KILDA  AUS Card xx5369 Value Date: 11/08/2018,3321.39,0,-0.0055236,4,0
11/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 09/08/2018,3334.41,0,-0.0086194,4,0
10/8/18,-22,Fonda                    Richmond     AU,3343.41,0,-0.00198,4,0
10/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 08/08/2018,3365.41,0,-0.0086194,4,0
9/8/18,-21.05,Direct Debit 010758 AHM 33695678,3374.41,0,-0.0029653,4,0
9/8/18,-52.2,Direct Debit 125206 FITNESS FIRST RI 015600018025010013,3395.46,0,-0.0060107,4,0
9/8/18,-39,SAY IT WITH FLOWERS MALVERN VI AUS Card xx5369 Value Date: 07/08/2018,3447.66,0,-0.0075257,4,0
9/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 07/08/2018,3486.66,0,-0.0086194,4,0
9/8/18,-13,LOVE PHO RICHMOND VI AUS Card xx5369 Value Date: 03/08/2018,3495.66,0,-0.0080085,4,0
9/8/18,-5.5,K Z ENTERPRSS AUST P RICHMOND VI AUS Card xx5369 Value Date: 06/08/2018,3508.66,0,-0.0078997,4,0
8/8/18,1000,Direct Credit 421520 ABAS PROPERTY SO 0123,3514.16,0,-0.0089862,6,1
8/8/18,-80,Abbotsford Cycles Richmond VI AUS Card xx5369 Value Date: 06/08/2018,2514.16,0,-0.0071809,4,0
8/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 06/08/2018,2594.16,0,-0.0086194,4,0
8/8/18,-26,FARGO & CO RICHMOND VI AUS Card xx5369 Value Date: 03/08/2018,2603.16,0,-0.0051217,4,0
8/8/18,-79,BP MALVERN 0559 MALVERN VI AUS Card xx5369 Value Date: 04/08/2018,2629.16,0,-0.004308,4,0
8/8/18,-8,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 04/08/2018,2708.16,0,-0.0056854,4,0
8/8/18,318.99,Direct Credit 012721 ATO ATO004000009611996,2716.16,0,-0.00213,5,0
7/8/18,2000,Transfer from xx4944 CommBank app,2397.17,0,-0.0102879,5,0
7/8/18,-92,Transfer to other Bank CommBank app footy x2,397.17,0,-0.0058988,4,0
7/8/18,-15,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 02/08/2018,489.17,0,-0.0056854,4,0
7/8/18,-42.3,SPOTLESS FACILITY MCG MELBOURNE  AUS Card xx5369 Value Date: 03/08/2018,504.17,0,-0.0064443,4,0
7/8/18,-18.99,SOUL PRESS BRIGHTON PT BRIGHTON  AUS Card xx5369 Value Date: 05/08/2018,546.47,0,-0.0029943,4,0
6/8/18,-120,Wdl ATM CBA ATM  MELBOURNE CTL1 VIC 301499   AUS,565.46,0,-0.0047995,4,0
3/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 01/08/2018,685.46,0,-0.0086194,4,0
2/8/18,-21.05,Direct Debit 010758 AHM 33695678,694.46,0,-0.0029653,4,0
2/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 31/07/2018,715.51,0,-0.0086194,4,0
1/8/18,-200,Wdl ATM CBA ATM  WINDSOR        VIC 316297   AUS,724.51,0,-0.0062855,4,0
1/8/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 30/07/2018,924.51,0,-0.0086194,4,0
1/8/18,-88.5,THAI SAFFRON BRIGHTON VI AUS Card xx5369 Value Date: 28/07/2018,933.51,0,-0.0097016,4,0
1/8/18,-5,UHS OB Football BRUNSWICK VI AUS Card xx5369 Value Date: 28/07/2018,1022.01,0,-0.0066053,4,0
1/8/18,-7.2,RSS ENTERPRISES PTY LT BULLEEN  AUS Card xx5369 Value Date: 31/07/2018,1027.01,0,-0.0072385,4,0
31/7/18,-10,THE GENRAL ASEMBLY S SOUTH WHARF  AUS Card xx5369 Value Date: 25/07/2018,1034.21,0,-0.0041491,4,0
31/7/18,-20,MYKI EASTRICH RS  ERM CREMORNE  AUS Card xx5369 Value Date: 25/07/2018,1044.21,0,-0.0066395,4,0
31/7/18,-23.75,TAXI EPAY AUSTRALIA WEST MELBOURN  AUS Card xx5369 Value Date: 27/07/2018,1064.21,0,-0.010354,4,0
28/7/18,45,Transfer from ALASDAIR GNAUCK CommBank app thai,1087.96,0,-0.0119216,5,0
28/7/18,-14.29,ADOBE  PHOTOGPHY PLAN 044-207-3650 IR IRL Card xx5369 AUD 14.29 Value Date: 26/07/2018,1042.96,0,-0.003326,4,0
27/7/18,45,Transfer From Miss Samantha Jayne Tyrrel pasta,1057.25,0,-0.0028981,5,0
27/7/18,-89,CENTO LIRE PTY LTD    SOUTH YARRA  VICAU,1012.25,0,-0.0014927,4,0
26/7/18,-21.05,Direct Debit 010758 AHM 33695678,1101.25,0,-0.0029653,4,0
26/7/18,-52.2,Direct Debit 125206 FITNESS FIRST RI 015600018025010012,1122.3,0,-0.0060107,4,0
25/7/18,-8.99,Amazon Australia Servi MELBOURNE AU AUS Card xx5369 Value Date: 22/07/2018,1174.5,0,-0.0049117,4,0
25/7/18,-17,BERTIES BUTCHERS RICHM RICHMOND  AUS Card xx5369 Value Date: 24/07/2018,1183.49,0,-0.0105389,4,0
24/7/18,620,Direct Credit 002962 CITIGROUP PTYLTD HEY BABE,1200.49,0,-0.0010148,5,0
24/7/18,75,Transfer From Miss Samantha Jayne Tyrrel Finns,580.49,0,0.00044702,5,0
23/7/18,-309.9,GENERAL PANTS 84         CHADSTONE    AU,505.49,0,0.00372452,4,0
20/7/18,-18.28,HOSTGATOR 7135745287 TX USA Card xx5369 AUD 18.28 Value Date: 17/07/2018,815.39,0,-0.0048411,4,0
19/7/18,-21.05,Direct Debit 010758 AHM 33695678,833.67,0,-0.0029653,4,0
19/7/18,75,Transfer from ALASDAIR GNAUCK CommBank app Finns,854.72,0,-0.0068455,5,0
19/7/18,75,Transfer from ALASDAIR GNAUCK CommBank app Finns,779.72,0,-0.0068455,5,0
19/7/18,-300,Transfer to CBA A/c CommBank app Finns Day Out,704.72,0,-0.0046683,4,0
19/7/18,-24,LOVE PHO RICHMOND VI AUS Card xx5369 Value Date: 13/07/2018,1004.72,0,-0.0080085,4,0
18/7/18,-5.04,WH SMITH AUST PL TULLAMARINE VI AUS Card xx5369 Value Date: 14/07/2018,1028.72,0,-0.008318,4,0
17/7/18,-30,HARRISON STEELE SALON VERMONT SOUTH AU AUS Card xx5369 Value Date: 14/07/2018,1033.76,0,-0.0027814,4,0
17/7/18,-12.99,Amazon Australia Servi MELBOURNE AU AUS Card xx5369 Value Date: 14/07/2018,1063.76,0,-0.0049117,4,0
17/7/18,-2.81,Amazon Australia Servi MELBOURNE AU AUS Card xx5369 Value Date: 14/07/2018,1076.75,0,-0.0049117,4,0
17/7/18,-20.72,PRICELINE CHADSTONE CHADSTONE  AUS Card xx5369 Value Date: 12/07/2018,1079.56,0,-0.0083903,4,0
17/7/18,-19,BA XA NOODLE BAR MELBOURNE AIR  AUS Card xx5369 Value Date: 14/07/2018,1100.28,0,-0.0082508,4,0
14/7/18,-39.74,COLES EXPRESS 6765 MALVERN AU AUS Card xx5369 Value Date: 12/07/2018,1119.28,0,-0.0044098,4,0
14/7/18,-3.7,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 12/07/2018,1159.02,0,-0.0086194,4,0
14/7/18,-40,GENERAL PANTS 84 CHADSTONE VI AUS Card xx5369 Value Date: 12/07/2018,1162.72,0,-0.0036865,4,0
14/7/18,-30,MYER  CHADSTONE CHADSTONE VI AUS Card xx5369 Value Date: 12/07/2018,1202.72,0,-0.0068399,4,0
14/7/18,-20,Belles Richmond Richmond VI AUS Card xx5369 Value Date: 12/07/2018,1232.72,0,-0.0046411,4,0
13/7/18,-111.04,"Direct Debit 119218 VODAFONE T1,2B0FA2,53",1252.72,0,-0.0062692,4,0
13/7/18,-200,Wdl ATM CBA ATM  WINDSOR        VIC 316297   AUS,1363.76,0,-0.0062855,4,0
13/7/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 11/07/2018,1563.76,0,-0.0086194,4,0
12/7/18,-1000,Transfer to other Bank CommBank app Bali spending,1572.76,0,-0.0069979,4,0
12/7/18,200,Transfer From Miss Samantha Jayne Tyrrel CREDIT TO ACCOUNT,2572.76,0,-0.0035285,5,0
12/7/18,-21.05,Direct Debit 010758 AHM 33695678,2372.76,0,-0.0029653,4,0
12/7/18,-52.2,Direct Debit 125206 FITNESS FIRST RI 015600018025010011,2393.81,0,-0.0060107,4,0
12/7/18,-3000,Transfer to xx4944 CommBank app,2446.01,0,-0.0127115,4,0
12/7/18,3745,Salary realestate.com.a 00REA Salary,5446.01,1,-0.0045201,6,1
11/7/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 09/07/2018,1701.01,0,-0.0086194,4,0
11/7/18,-14,THE SWAN RICHMOND VI AUS Card xx5369 Value Date: 06/07/2018,1710.01,0,-0.0054418,4,0
11/7/18,-33,Bocconcini DAYLESFORD VI AUS Card xx5369 Value Date: 07/07/2018,1724.01,0,-0.0078785,4,0
10/7/18,-20,Wdl ATM CBA ATM  RICHMOND STH B VIC 316602   AUS,1757.01,0,-0.0061254,4,0
10/7/18,-12.99,Udemy udemy.com IR IRL Card xx5369 AUD 12.99 Value Date: 06/07/2018,1777.01,0,-0.0007131,4,0
10/7/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 06/07/2018,1790,0,-0.0086194,4,0
10/7/18,-14.5,HUNKY DORY FISH RICHMOND VI AUS Card xx5369 Value Date: 06/07/2018,1799,0,-0.0040721,4,0
10/7/18,-4.05,MCDONALDS PRAHRAN PRAHRAN  AUS Card xx5369 Value Date: 05/07/2018,1813.5,0,-0.0083413,4,0
10/7/18,-5.1,MCDONALDS PRAHRAN PRAHRAN  AUS Card xx5369 Value Date: 05/07/2018,1817.55,0,-0.0083413,4,0
10/7/18,-8,SPOTLESS FACILITY MQPS MELBOURNE  AUS Card xx5369 Value Date: 06/07/2018,1822.65,0,-0.0048737,4,0
10/7/18,-8.4,SPOTLESS FACILITY MQPS MELBOURNE  AUS Card xx5369 Value Date: 06/07/2018,1830.65,0,-0.0048737,4,0
7/7/18,-394.5,SAULT                    SAILORS FALL AU,1839.05,0,-0.0046167,4,0
7/7/18,-46,Transfer to other Bank CommBank app footy,2233.55,0,-0.0056733,4,0
7/7/18,-4,SAINT THOMAS COFFE RICHMOND VI AUS Card xx5369 Value Date: 05/07/2018,2279.55,0,-0.0044906,4,0
6/7/18,90,Direct Credit 441774 AHM 33695678,2283.55,0,-0.0039748,5,0
6/7/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 04/07/2018,2193.55,0,-0.0086194,4,0
6/7/18,-17.5,BERTIES BUTCHERS RICHM RICHMOND  AUS Card xx5369 Value Date: 05/07/2018,2202.55,0,-0.0105389,4,0
5/7/18,-21.05,Direct Debit 010758 AHM 33695678,2220.05,0,-0.0029653,4,0
5/7/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 03/07/2018,2241.1,0,-0.0086194,4,0
5/7/18,-78.5,Adidas Australia Mulgrave AU AUS Card xx5369 Value Date: 02/07/2018,2250.1,0,-0.002804,4,0
5/7/18,-49.8,4TH CHAPTER PTY LTD PRAHRAN VI AUS Card xx5369 Value Date: 01/07/2018,2328.6,0,-0.0044252,4,0
4/7/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 02/07/2018,2378.4,0,-0.0086194,4,0
4/7/18,-25,THE SWAN RICHMOND VI AUS Card xx5369 Value Date: 29/06/2018,2387.4,0,-0.0054418,4,0
4/7/18,-3.6,RSS ENTERPRISES PTY LT BULLEEN  AUS Card xx5369 Value Date: 03/07/2018,2412.4,0,-0.0072385,4,0
30/6/18,-30,Transfer to CBA A/c CommBank app thai,2416,0,-0.0117765,4,0
30/6/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 28/06/2018,2446,0,-0.0086194,4,0
28/6/18,-21.05,Direct Debit 010758 AHM 33695678,2455,0,-0.0029653,4,0
28/6/18,-52.2,Direct Debit 125206 FITNESS FIRST RI 015600018025010010,2476.05,0,-0.0060107,4,0
28/6/18,-200,Wdl ATM CBA ATM  WINDSOR        VIC 316297   AUS,2528.25,0,-0.0062855,4,0
28/6/18,769.6,Direct Credit 165074 BENDIGO BANK 5000 Draw Expenses,2728.25,0,-0.002186,5,0
28/6/18,-14.29,ADOBE  PHOTOGPHY PLAN 044-207-3650 IR IRL Card xx5369 AUD 14.29 Value Date: 26/06/2018,1958.65,0,-0.003326,4,0
27/6/18,-4000,Transfer to xx4944 CommBank app,1972.94,0,-0.0127115,4,0
27/6/18,3000,Direct Credit 421520 ABAS PROPERTY SO 0122,5972.94,0,-0.0089862,6,1
27/6/18,-20,Wdl ATM CBA ATM  RICHMOND STH B VIC 316602   AUS,2972.94,0,-0.0061254,4,0
27/6/18,-5,COLES 0544 BERWICK AU AUS Card xx5369 Value Date: 24/06/2018,2992.94,0,-0.0025605,4,0
27/6/18,-11.49,COLES 0544 BERWICK AU AUS Card xx5369 Value Date: 24/06/2018,2997.94,0,-0.0025605,4,0
27/6/18,-3.9,JG RICHMOND PTY LTD RICHMOND  AUS Card xx5369 Value Date: 26/06/2018,3009.43,0,-0.0058685,4,0
26/6/18,-48.9,VILLAGE JAM FACTORY MO SOUTH YARRA VI AUS Card xx5369 Value Date: 22/06/2018,3013.33,0,-0.0081938,4,0
26/6/18,-15,MHSOBFC SOUTH YARRA VI AUS Card xx5369 Value Date: 21/06/2018,3062.23,0,-0.0056854,4,0
26/6/18,-10.8,COLES 0677 VERMONT SOUTH AU AUS Card xx5369 Value Date: 23/06/2018,3077.23,0,-0.0022036,4,0
26/6/18,-11,LOVE PHO RICHMOND VI AUS Card xx5369 Value Date: 22/06/2018,3088.03,0,-0.0080085,4,0
26/6/18,-7.1,WOOLWORTHS 3136 MID BR BRIGHTON  AUS Card xx5369 Value Date: 23/06/2018,3099.03,0,-0.0077591,4,0
25/6/18,-20,Wdl ATM CBA ATM  RICHMOND STH B VIC 316602   AUS,3106.13,0,-0.0061254,4,0
23/6/18,-9,7 GRAMS RICHMOND VI AUS Card xx5369 Value Date: 21/06/2018,3126.13,0,-0.0086194,4,0
22/6/18,-4,SQ *HERESY PTY LTD Cremorne VI AUS Card xx5369 Value Date: 19/06/2018,3135.13,0,-0.0062587,4,0
