date,amount,description,word embed,TYPE,MLPClassifier,SVG ,MLP2,SVG2,income,Synthesised
2/10/17,250,DEPOSIT ONLINE 2215774 TFR Westpac Choice Stude,-0.007507263,5,1.00E+00,0.00E+00,1,0,,0
29/9/17,3.06,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
18/9/17,2000,DEPOSIT ONLINE 2274366 TFR Westpac Choice Stude,-0.006366895,5,1.00E+00,0.00E+00,1,0,,0
11/9/17,-100,WITHDRAWAL MOBILE 1405547 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
11/9/17,-100,WITHDRAWAL MOBILE 1036002 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
7/9/17,-200,WITHDRAWAL MOBILE 1005073 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
1/9/17,2000,DEPOSIT ONLINE 2343749 TFR Westpac Choice Stude,-0.006366895,5,1.00E+00,0.00E+00,1,0,,0
31/8/17,1.22,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
31/7/17,1.22,INTEREST PAID,-0.006398294,3,1.00E+00,0.00E+00,0,0,,0
30/6/17,1.32,INTEREST PAID,-0.010040516,3,1.00E+00,0.00E+00,0,0,,0
26/6/17,-200,WITHDRAWAL MOBILE 1951230 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
31/5/17,1.51,INTEREST PAID,-0.006398294,3,1.00E+00,0.00E+00,0,0,,0
28/4/17,2.08,INTEREST PAID,-0.001627037,3,1.00E+00,0.00E+00,0,0,,0
24/4/17,-100,WITHDRAWAL ONLINE 1964412 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
19/4/17,-400,WITHDRAWAL MOBILE 1177716 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
6/4/17,-2500,WITHDRAWAL ONLINE 1161782 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
6/4/17,-300,WITHDRAWAL ONLINE 1137230 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
31/3/17,4.39,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
28/2/17,4.4,INTEREST PAID,-0.007507263,3,1.00E+00,0.00E+00,0,0,,0
13/2/17,-100,WITHDRAWAL MOBILE 1272249 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
10/2/17,-600,WITHDRAWAL MOBILE 1950717 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
8/2/17,-500,WITHDRAWAL MOBILE 1481140 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
8/2/17,-500,WITHDRAWAL MOBILE 1105355 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
31/1/17,7.71,INTEREST PAID,-0.008363415,3,1.00E+00,0.00E+00,0,0,,0
27/1/17,-500,WITHDRAWAL MOBILE 1958004 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
27/1/17,-500,WITHDRAWAL MOBILE 1826860 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
18/1/17,-1500,WITHDRAWAL MOBILE 1248010 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
30/12/16,9.01,INTEREST PAID,-0.003402219,3,1.00E+00,0.00E+00,0,0,,0
30/11/16,10.23,INTEREST PAID,-0.006398294,3,1.00E+00,0.00E+00,0,0,,0
21/11/16,-100,WITHDRAWAL MOBILE 1946662 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
18/11/16,-100,WITHDRAWAL MOBILE 1351992 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
18/11/16,-200,WITHDRAWAL MOBILE 1231256 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
17/11/16,-200,WITHDRAWAL MOBILE 1739983 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
15/11/16,-300,WITHDRAWAL MOBILE 1442763 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
15/11/16,-411.07,WITHDRAWAL MOBILE 1210110 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
14/11/16,-300,WITHDRAWAL MOBILE 1481379 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
31/10/16,11.7,INTEREST PAID,-0.006419301,3,1.00E+00,0.00E+00,0,0,,0
10/10/16,-1000,WITHDRAWAL MOBILE 1327985 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
30/9/16,12.07,INTEREST PAID,-0.003453047,3,1.00E+00,0.00E+00,0,0,,0
14/9/16,-100,WITHDRAWAL MOBILE 1378099 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
5/9/16,-100,WITHDRAWAL MOBILE 1525148 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
31/8/16,17.13,INTEREST PAID,-0.005945156,3,1.00E+00,0.00E+00,0,0,,0
30/8/16,-400,WITHDRAWAL MOBILE 1376801 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
29/8/16,-400,WITHDRAWAL ONLINE 1379775 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
29/7/16,16.98,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
22/7/16,-700,WITHDRAWAL MOBILE 1264451 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
13/7/16,-1000,WITHDRAWAL ONLINE 1950309 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
13/7/16,-1000,WITHDRAWAL MOBILE 1007981 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
5/7/16,-1000,WITHDRAWAL MOBILE 1770836 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
30/6/16,22.82,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
28/6/16,-1000,WITHDRAWAL ONLINE 1852432 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
24/6/16,-1000,WITHDRAWAL MOBILE 1651519 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
22/6/16,-500,WITHDRAWAL MOBILE 1483336 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
17/6/16,-100,WITHDRAWAL MOBILE 1670505 TFR Westpac Cho,-0.012123072,4,0.00E+00,0.00E+00,0,0,,0
7/6/16,-100,WITHDRAWAL ONLINE 1980957 TFR Westpac Cho,-0.00876343,4,0.00E+00,0.00E+00,0,0,,0
31/5/16,24.05,INTEREST PAID,-0.008931275,3,1.00E+00,0.00E+00,0,0,,0
21/5/19,-9.95,CAMBERWELL PHARMACY CAMBERWELL AUS,-0.011421677,4,0.00E+00,0.00E+00,0,0,,0
20/5/19,-347,PROVENTURE GEELONG P/L DEEPDENE AUS,-0.007959156,4,0.00E+00,0.00E+00,0,0,,0
20/5/19,-100,Camberwell Junction M Camberwell AUS,-0.009311629,4,0.00E+00,0.00E+00,0,0,,0
13/5/19,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
6/5/19,-10.72,COLES 0643 CHADSTONE AUS,-0.002381705,4,0.00E+00,0.00E+00,0,0,,0
6/5/19,645.87,C75986 TFR Westpac Cho ice,-0.006398294,5,1.00E+00,0.00E+00,1,0,,0
29/4/19,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
23/4/19,-13.21,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
10/4/19,-14.61,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
8/4/19,-29.06,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
4/4/19,813.03,C73875 TFR Westpac Cho ice,-0.006398294,5,1.00E+00,0.00E+00,1,0,,0
26/3/19,-75,KISOL MEDICAL GROUP FERNTREE GU AUS,-0.010211783,4,0.00E+00,0.00E+00,0,0,,0
25/3/19,-53.9,VERMONT SOUTH PH VERMONT SOU AUS,-0.002284816,4,0.00E+00,0.00E+00,0,0,,0
25/3/19,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
18/3/19,-9.3,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
18/3/19,-75,KISOL MEDICAL GROUP FERNTREE GU AUS,-0.010211783,4,0.00E+00,0.00E+00,0,0,,0
18/3/19,-221.6,PROVENTURE GEELONG P/L DEEPDENE AUS,-0.007959156,4,0.00E+00,0.00E+00,0,0,,0
15/3/19,-3.4,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
13/3/19,-3,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
7/3/19,557.35,C52609 TFR Westpac Cho ice,-0.006398294,5,1.00E+00,0.00E+00,1,0,,0
1/3/19,-55,LE NAILS GLEN WAVERLEY GLEN WAVERL AUS,-0.002665073,4,0.00E+00,0.00E+00,0,0,,0
27/2/19,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
25/2/19,-47.03,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0+E107,0.00E+00,0,0,,0
25/2/19,-550,LEWIS/MCCONNELL OPTOM MOUNT WAVER AUS,-0.015424483,4,0.00E+00,0.00E+00,0,0,,0
8/2/19,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
5/2/19,1128.5,C46716 TFR FROM Westpa c Choice,-0.001627037,5,1.00E+00,0.00E+00,1,0,,0
4/2/19,0,FOREIGN FEE AUD 5.03 FRGN AMT: 3801.71 BAHT,0.000550488,4,0.00E+00,0.00E+00,0,0,,0
4/2/19,-172.85,PULLMAN PHUKET PANWA B PHUKET THA FRGN AMT: 3801.71 BAHT,-0.002873875,4,0.00E+00,0.00E+00,0,0,,0
24/1/19,-62.5,BELLBIRD SPORTS/SPINAL BLACKBURN S AUS,-0.003269211,4,0.00E+00,0.00E+00,0,0,,0
18/1/19,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
7/1/19,-43.5,BELLBIRD SPORTS/SPINAL BLACKBURN S AUS,-0.003269211,4,0.00E+00,0.00E+00,0,0,,0
7/1/19,-70.45,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
7/1/19,-15.65,COLES 0584 BURWOOD EAS AUS,-0.003093252,4,0.00E+00,0.00E+00,0,0,,0
7/1/19,-16.5,KMART 1001 BURWOOD EAS AUS,-0.006932208,4,0.00E+00,0.00E+00,0,0,,0
7/1/19,-13.01,H & K MEATS BURWOOD EAS AUS,-0.01026346,4,0.00E+00,0.00E+00,0,0,,0
4/1/19,406.69,C39058 TFR Westpac Cho ice,-0.008931275,5,1.00E+00,0.00E+00,1,0,,0
24/12/18,-44.95,SWEET JASPER PTY LTD MALVERN EAS AUS,-0.007410349,4,0.00E+00,0.00E+00,0,0,,0
24/12/18,-62.5,BELLBIRD SPORTS/SPINAL BLACKBURN S AUS,-0.003269211,4,0.00E+00,0.00E+00,0,0,,0
21/12/18,-12.1,COLES 0508 GLEN WAVERL AUS,-0.003521674,4,0.00E+00,0.00E+00,0,0,,0
21/12/18,-99,HAIR KNOX PTY LTD WANTIRNA SO AUS,-0.003075736,4,0.00E+00,0.00E+00,0,0,,0
21/12/18,-280,LEWIS/MCCONNELL OPTOM MOUNT WAVER AUS,-0.015424483,4,0.00E+00,0.00E+00,0,0,,0
19/12/18,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
18/12/18,-46.4,COLES 0508 GLEN WAVERL AUS,-0.003521674,4,0.00E+00,0.00E+00,0,0,,0
17/12/18,-39.94,Amcal Tooronga Glen Iris AUS,-0.005535444,4,0.00E+00,0.00E+00,0,0,,0
13/12/18,-62.5,BELLBIRD SPORTS/SPINAL BLACKBURN S AUS,-0.003269211,4,0.00E+00,0.00E+00,0,0,,0
12/12/18,-161,HARCROFT CONSULTING GR MITCHAM AUS,-0.012283565,4,0.00E+00,0.00E+00,0,0,,0
7/12/18,-62.5,BELLBIRD SPORTS/SPINAL BLACKBURN S AUS,-0.003269211,4,0.00E+00,0.00E+00,0,0,,0
6/12/18,135.96,C62205 TFR Westpac Cho ice,-0.008931275,5,1.00E+00,0.00E+00,1,0,,0
5/12/18,-8.62,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
30/11/18,-16.98,PLINE PH THE GLEN GLEN WAVERL AUS,-0.004095507,4,0.00E+00,0.00E+00,0,0,,0
29/11/18,-75,CARLISLE SERVICES PT FERNTREE GU AUS,-0.011288827,4,0.00E+00,0.00E+00,0,0,,0
27/11/18,-100,PJS ORTHOPAEDICS RICHMOND AUS,-0.001340445,4,0.00E+00,0.00E+00,0,0,,0
19/11/18,-12,PROVENTURE GEELONG P/L DEEPDENE AUS,-0.007959156,4,0.00E+00,0.00E+00,0,0,,0
19/11/18,-100,PROVENTURE GEELONG P/L DEEPDENE AUS,-0.007959156,4,0.00E+00,0.00E+00,0,0,,0
16/11/18,-20.04,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
15/11/18,-11.55,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
9/11/18,-9.4,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
6/11/18,-12,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
5/11/18,376.72,C60913 TFR Westpac Cho ice,-0.008931275,5,1.00E+00,0.00E+00,1,0,,0
2/11/18,-27.79,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
29/10/18,-18.8,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
29/10/18,-16.81,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
26/10/18,-4.5,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
25/10/18,-22.87,OFFICEWORKS 0329 GLEN WAVERL AUS,-0.006880385,4,0.00E+00,0.00E+00,0,0,,0
18/10/18,-15.79,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
18/10/18,-8,EASTERN HEALTH BOX HILL AUS,-0.008868681,4,0.00E+00,0.00E+00,0,0,,0
10/10/18,-75,CARLISLE SERVICES PT FERNTREE GU AUS,-0.011288827,4,0.00E+00,0.00E+00,0,0,,0
9/10/18,-23.52,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
8/10/18,-20.16,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
5/10/18,73.62,C47869 TFR Westpac Cho ice,-0.007160702,5,1.00E+00,0.00E+00,0,0,,0
26/9/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
26/9/18,-6.46,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
24/9/18,-24.27,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
14/9/18,-11.76,SPOTTO VIC EAST SYDNEY AUS,-0.003075192,4,0.00E+00,0.00E+00,0,0,,0
14/9/18,-36.33,GM CABS PTY LTD MASCOT AUS,-0.014895926,4,0.00E+00,0.00E+00,0,0,,0
14/9/18,-20.52,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
13/9/18,-75,CARLISLE SERVICES PT FERNTREE GU AUS,-0.011288827,4,0.00E+00,0.00E+00,0,0,,0
12/9/18,-34.9,VERMONT SOUTH PH VERMONT SOU AUS,-0.002284816,4,0.00E+00,0.00E+00,0,0,,0
12/9/18,-4.8,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
6/9/18,1185.23,C21509 TFR Westpac Cho ice,-0.006398294,5,1.00E+00,0.00E+00,1,0,,0
5/9/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
21/8/18,-11.99,WOOLWORTHS 3969 GLEN WAVERV AUS,-0.006880385,4,0.00E+00,0.00E+00,0,0,,0
20/8/18,-17.63,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
8/8/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
6/8/18,190.97,C93429 TFR Westpac Cho ice,-0.007160702,5,1.00E+00,0.00E+00,1,0,,0
31/7/18,-15.62,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
30/7/18,-47.97,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
30/7/18,-18.8,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
30/7/18,-16.79,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
27/7/18,-180,LEWIS/MCCONNELL OPTOM MOUNT WAVER AUS,-0.015424483,4,0.00E+00,0.00E+00,0,0,,0
25/7/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
24/7/18,-403.15,Monash Uni Book 9638 Clayton AUS,-0.004485272,4,0.00E+00,0.00E+00,0,0,,0
23/7/18,-414.9,Monash Uni Book 9638 Clayton AUS,-0.004485272,4,0.00E+00,0.00E+00,0,0,,0
6/7/18,575.89,C05981 TFR FROM Westpa c Choice,-0.001627037,5,1.00E+00,0.00E+00,1,0,,0
2/7/18,-14.28,WW METRO 3089 SOUTHERNCRV AUS,-0.011520193,4,0.00E+00,0.00E+00,0,0,,0
2/7/18,-10.09,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
15/6/18,-17.9,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
15/6/18,-4.7,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
13/6/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
13/6/18,-100,PJS ORTHOPAEDICS RICHMOND AUS,-0.001340445,4,0.00E+00,0.00E+00,0,0,,0
8/6/18,-185,LEWIS/MCCONNELL OPTOM MOUNT WAVER AUS,-0.015424483,4,0.00E+00,0.00E+00,0,0,,0
4/6/18,92.4,C44976 TFR Westpac Cho ice,-0.007160702,5,1.00E+00,0.00E+00,0,0,,0
30/5/18,-4.7,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
30/5/18,-6.88,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
28/5/18,-54.86,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
25/5/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
25/5/18,-17.55,MONSH CMPUS PHRMC CLAYTON AUS,-0.003847469,4,0.00E+00,0.00E+00,0,0,,0
24/5/18,-4.7,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
21/5/18,-8.08,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
18/5/18,-94.44,Monash Uni Book 9638 Clayton AUS,-0.004485272,4,0.00E+00,0.00E+00,0,0,,0
17/5/18,-82,PROVENTURE GEELONG P/L DEEPDENE AUS,-0.007959156,4,0.00E+00,0.00E+00,0,0,,0
14/5/18,-4.7,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
14/5/18,-2.63,COLES 0677 VERMONT SOU AUS,-0.002819552,4,0.00E+00,0.00E+00,0,0,,0
11/5/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
11/5/18,-22.35,CHEMIST WAREHOUSE KNOXFIELD AUS,-0.007422797,4,0.00E+00,0.00E+00,0,0,,0
10/5/18,-48.4,Wholefood Merchants Wantirna AUS,-0.009639391,4,0.00E+00,0.00E+00,0,0,,0
7/5/18,186.85,C00571 TFR Westpac Cho ice,-0.007160702,5,1.00E+00,0.00E+00,1,0,,0
19/4/18,-44,MELB SPORTS PHYSIO BLACKBURN S AUS,0.001214618,4,0.00E+00,0.00E+00,0,0,,0
5/4/18,629.14,C21428 TFR Westpac Cho ice,-0.006398294,5,1.00E+00,0.00E+00,1,0,,0
19/3/18,-93.59,CHEMIST WAREHOUSE KNOXFIELD AUS,-0.007422797,4,0.00E+00,0.00E+00,0,0,,0
19/3/18,-13.44,OFFICEWORKS 0358 VERMONT SOU AUS,-0.004824651,4,0.00E+00,0.00E+00,0,0,,0
